id,formation_energy_per_atom,prediction
mp-27477,-2.337598381557223,-2.31286
mp-23883,-2.751519001598333,-2.7562993
mp-20222,-2.9907747742976207,-2.9584022
mp-542514,-2.323007146102941,-2.3496401
mp-27272,-1.5168670956632648,-1.5441589
mp-567305,-0.4108157637499996,-0.38464653
mp-29379,-0.7890080509285714,-0.83372945
mp-34898,-3.135879322819092,-3.1367931
mp-30053,-0.3068040837099997,-0.29760265
mp-974057,-0.7637768040476198,-0.77101177
mp-29055,-0.2953381976666668,-0.3211425
mp-23176,-1.13996552855,-1.156138
mp-5263,-3.338032475035715,-3.3473258
mp-28848,-2.400493238657408,-2.3802738
mp-1025274,-2.8603053280233985,-2.8273554
mp-675786,-0.3444990391304345,-0.3613845
mp-20624,-0.4489669031818182,-0.43003327
mp-28599,-1.548466947321429,-1.5615973
mp-973767,-0.4154011556250001,-0.39586636
mp-26285,-2.306601630218255,-2.3031065
mp-18258,-3.6802022302380952,-3.6388526
mp-30402,-0.2459137568571426,-0.26144895
mp-637599,-1.2962317597499995,-1.3298333
mp-620571,-0.6960710369444444,-0.69829637
mp-675543,-0.4342621891964283,-0.43064386
mp-721943,-1.8618789738684611,-1.8543379
mp-978287,0.3132934875000006,0.31185776
mp-23482,-2.244810972750001,-2.2401664
mp-1173559,-1.3194147887199996,-1.3406831
mp-1002183,0.1404265966666678,0.1891304
mp-27417,-2.0640821387500004,-2.0685651
mp-504139,-2.2136682308214284,-2.2051804
mp-21487,-0.5392337566666665,-0.5348275
mp-642783,-2.676037878522727,-2.6446457
mp-971794,-0.0818245824999999,-0.074582994
mp-850068,-0.6027179918749995,-0.6540867
mp-866016,-0.6561155579166664,-0.657813
mp-772910,-1.4953351806249993,-1.4947942
mp-27866,-1.1897270025675006,-1.2293422
mp-680153,-0.590665439126984,-0.58919775
mp-18329,-2.9278644858356784,-2.911418
mp-850422,-1.9519891858199996,-1.9437082
mp-38843,-3.3549382641666674,-3.351857
mp-27774,-0.5749169172675002,-0.602313
mp-27391,-3.4756553857735,-3.484444
mp-18132,-1.0312581254305553,-1.050251
mp-759382,-3.174513419933862,-3.1728828
mp-22196,-2.5362572944736845,-2.539919
mp-17771,-2.43254316775,-2.4278617
mp-22480,-0.6566430800000008,-0.65246266
mp-640708,-0.0038873383333329,-0.035646558
mp-30338,-0.1855617775000002,-0.18864924
mp-30336,-0.1489300595000003,-0.15900373
mp-3689,-0.2134097048611115,-0.21466595
mp-770591,-2.470831849412223,-2.4628778
mp-755374,-2.895168338611112,-2.9017377
mp-1015076,0.1324873309133352,0.07335913
mp-777465,-2.502889907321429,-2.4914432
mp-1029763,-0.5089377268149997,-0.5501453
mp-41414,-2.6374630362500007,-2.6251578
mp-765395,-2.5902536350771115,-2.591774
mp-1016212,-1.1082169493944447,-1.1096699
mp-504900,-0.7843317089999999,-0.76739836
mp-974774,1.2722776522413797,1.2101989
mp-1016637,0.10012128875,0.0978871
mp-761841,-2.5482410448363093,-2.5591507
mp-645130,-0.0779956133333333,-0.082956016
mp-23305,-1.610790664166667,-1.632216
mp-761019,-2.453933206702,-2.4520724
mp-867913,-0.5960443199999998,-0.59723556
mp-770327,-2.329156530357143,-2.3230965
mp-34421,-1.2572329207954545,-1.258245
mp-4604,-0.9123198682933336,-0.90841687
mp-769028,-2.732456397589285,-2.7241442
mp-569246,-0.1906420943749998,-0.19276416
mp-20464,-3.015390006750001,-3.0449784
mp-985579,-0.1319079366666666,-0.1975323
mp-29997,-1.4597943521428576,-1.4685119
mp-763211,-2.570789349715556,-2.5612936
mp-770749,-2.888145867954545,-2.8896804
mp-1019597,-3.115030773268519,-3.1206474
mp-30019,-0.5082558791666667,-0.52097404
mp-765687,-2.8432599516466674,-2.8276582
mp-31456,-0.5406236516666674,-0.5407846
mp-568562,-0.4154225618226597,-0.37147242
mp-29892,-1.976938662083333,-1.9870957
mp-865473,-0.7792363074999997,-0.8149511
