id,tc
Ag0.02Ge2Pd1.98Sr1-MP-mp-978986-synth_doped,2.64
Ag0.15Sn0.85Te1-MP-mp-1883-synth_doped,2.15
Ag0.1Ge2Pd1.9Sr1-MP-mp-978986-synth_doped,2.62
Ag0.1In0.9Te1-MP-mp-2597-synth_doped,1.2
Ag0.2Ba1Si1.8-MP-mp-7275-synth_doped,3.2
Ag0.2Ge2Pd1.8Sr1-MP-mp-978986-synth_doped,2.52
Ag0.438Hg0.562-MP-mp-758523-synth_doped,0.64
Ag0.4Sn0.6Te1-MP-mp-1229006-synth_doped,1.95
Ag0.55Hg0.45-MP-mp-770433,0.0
Ag0.5Ba1Si1.5-MP-mp-9867,1.21
Ag0.5Pd0.5Th2-MP-mp-1217282,1.2
Ag0.5Sn0.5Te1-MP-mp-1229006,0.0
Ag0.625Al0.375-MP-mp-985805-synth_doped,0.106
Ag0.65Al0.35-MP-mp-985805-synth_doped,0.1
Ag0.667Al0.333-MP-mp-985805-synth_doped,0.126
Ag0.6Al0.4-MP-mp-985805-synth_doped,0.088
Ag0.76Se2Sn1.24-MP-mp-1229011-synth_doped,6.72
Ag0.7Al0.3-MP-mp-985805-synth_doped,0.11
Ag0.7Hg0.3-MP-mp-985443-synth_doped,0.0
Ag0.7Zn0.3-MP-mp-864794-synth_doped,0.0125
Ag0.81In0.19-MP-mp-30343-synth_doped,0.0074
Ag0.81Se2Sn1.19-MP-mp-1229011-synth_doped,6.415
Ag0.85Se2Sn1.15-MP-mp-1229011-synth_doped,6.175
Ag0.8Ga0.2-MP-mp-1184036-synth_doped,6.5
Ag0.92Se2Sn1.08-MP-mp-1229011-synth_doped,5.57
Ag0.95Se2Sn1.05-MP-mp-1229011-synth_doped,5.245
Ag0.9S0.2Se1.8Sn1.1-MP-mp-1229011-synth_doped,6.79
Ag1B2-MP-mp-12062,6.7
Ag1Be2-MP-mp-603,0.0
Ag1Ce1Sb2-MP-mp-510280,0.0
Ag1Cl2-MP-mp-864635-synth_doped,0.0
Ag1In2-MP-mp-19974,2.35
Ag1La1-MP-mp-1948,1.073333333
Ag1La1Sb2-MP-mp-20271,0.0
Ag1Mg1-MP-mp-2696,0.0
Ag1Mo6S8-MP-mp-35109,7.7
Ag1S0.2Se1.8Sn1-MP-mp-1229011-synth_doped,5.79
Ag1Se2Sn1-MP-mp-1229011,4.655
Ag1Te1-MP-mp-568761,0.0
Ag1Te3-MP-mp-28246,2.6
Ag1Th2-MP-mp-2233,2.225
Ag1Y1-MP-mp-2474,0.0
Ag1Zn1-MP-mp-1912,0.0
Ag1Zn3-MP-mp-1187969,0.0
Ag2F1-MP-mp-1391,0.066
Ag2O1-MP-mp-353,0.0
Ag2S1-MP-mp-31053,0.0
Ag2Se1-MP-mp-568936,0.0
Ag2Te1-MP-mp-1592,0.0
Ag3.3Al1-MP-mp-1228927-synth_doped,0.34
Ag3In1-MP-mp-30343,0.0
Ag3Sb1-MP-mp-16240,0.0
Ag3Sn1-MP-mp-611,0.0
Ag4Ge1-MP-mp-1229108-synth_doped,0.85
Ag5Ba1-MP-mp-1814,0.0
Ag5Cd8-MP-mp-567857,0.0
Ag5Pb2O6-MP-mp-22286,0.0502
Ag5Sr1-MP-mp-2410,0.0
Ag5Zn8-MP-mp-30361,0.0
Ag7N1O11-MP-mp-37695,1.03625
Al0.01B0.99Li2Pt3-MP-mp-20234-synth_doped,2.86
Al0.01B2Mg0.99-MP-mp-763-synth_doped,37.95
Al0.022B2Mg0.978-MP-mp-763-synth_doped,34.7
Al0.02B2Mg0.98-MP-mp-763-synth_doped,36.7
Al0.02Nb3Sn0.98-MP-mp-1326-synth_doped,17.9
Al0.02Si0.98V3-MP-mp-2567-synth_doped,16.12
Al0.03B2Mg0.97-MP-mp-763-synth_doped,37.3
Al0.044B2Mg0.956-MP-mp-763-synth_doped,34.0
Al0.04Nb3Sn0.96-MP-mp-1326-synth_doped,18.0
Al0.05B0.95Li2Pd3-MP-mp-20657-synth_doped,7.75
Al0.05B0.95Li2Pt3-MP-mp-20234-synth_doped,2.12
Al0.05B2Mg0.95-MP-mp-763-synth_doped,36.46666667
Al0.05Nb3Sn0.95-MP-mp-1326-synth_doped,18.1
Al0.06B2Mg0.94-MP-mp-763-synth_doped,37.0
Al0.06Nb3Sn0.94-MP-mp-1326-synth_doped,18.0
Al0.07B2Mg0.93-MP-mp-763-synth_doped,35.8
Al0.085B2Mg0.915-MP-mp-763-synth_doped,32.4
Al0.08B2Mg0.92-MP-mp-763-synth_doped,33.55
Al0.08Nb3Sn0.92-MP-mp-1326-synth_doped,17.9
Al0.09B2Mg0.91-MP-mp-763-synth_doped,34.7
Al0.09Nb3Sn0.91-MP-mp-1326-synth_doped,17.8
Al0.14B2Mg0.86-MP-mp-763-synth_doped,35.1
Al0.15B2Mg0.85-MP-mp-763-synth_doped,31.5
Al0.15Ga0.85Nb3-MP-mp-2670-synth_doped,17.1
Al0.15Ge0.85Nb3-MP-mp-1198302-synth_doped,7.4
Al0.185B2Mg0.815-MP-mp-763-synth_doped,25.3
Al0.188V0.812-MP-mp-1387-synth_doped,0.0
Al0.18La0.82-MP-mp-1084828-synth_doped,4.65
Al0.19B2Mg0.81-MP-mp-763-synth_doped,30.8
Al0.19Nb3Sn0.81-MP-mp-1326-synth_doped,14.6
Al0.1B0.9Li2Pd3-MP-mp-20657-synth_doped,7.49
Al0.1B2Mg0.9-MP-mp-763-synth_doped,34.3
Al0.1Ca1Ga0.9Si1-MP-mp-1227042-synth_doped,3.34
Al0.1Ga0.9V3-MP-mp-22568-synth_doped,13.9
Al0.1Nb3Sn0.9-MP-mp-1326-synth_doped,18.1
Al0.215Nb0.785-MP-mp-796-synth_doped,17.97
Al0.21B2Mg0.79-MP-mp-763-synth_doped,27.1
Al0.22La0.78-MP-mp-1084828-synth_doped,4.3
